Freq[Hz]    GD[ms]  Phase[Deg]
1030.71      0.512  -142.511
1045.71      0.540  -145.190
1060.92      0.568  -148.076
1076.35      0.597  -151.147
1092.00      0.625  -154.378
1107.89      0.653  -157.868
1124.00      0.681  -161.631
1140.35      0.708  -165.613
1156.94      0.734  -169.855
1173.77      0.758  -174.364
1190.84      0.780  -179.152
1208.16      0.800   175.712
1225.73      0.816   170.263
1243.56      0.829   164.437
1261.65      0.838   158.295
1280.00      0.842   151.707
1298.62      0.842   144.830
1317.51      0.837   137.613
1336.67      0.827   130.228
1356.11      0.814   122.705
1375.84      0.796   115.397
1395.85      0.775   108.149
1416.15      0.750   101.302
1436.75      0.722    94.901
1457.65      0.691    89.007
1478.85      0.657    83.690
1500.36      0.621    78.917
1522.19      0.584    74.646
1544.33      0.545    70.685
1566.79      0.507    67.254
1589.58      0.469    63.973
1612.70      0.431    60.959
1636.16      0.396    58.085
1659.95      0.363    55.414
1684.10      0.331    53.047
1708.60      0.302    50.942
1733.45      0.275    49.099
1758.66      0.250    47.439
1784.24      0.226    45.901
1810.19      0.204    44.400
1836.52      0.184    42.840
1863.24      0.165    41.224
1890.34      0.148    39.583
1917.83      0.133    37.992
1945.73      0.120    36.562
1974.03      0.108    35.412
2002.74      0.097    34.513
2031.87      0.087    33.900
2061.43      0.077    33.539
2091.41      0.069    33.274
2121.83      0.060    33.114
2152.69      0.053    32.836
2184.01      0.047    32.543
2215.77      0.042    32.170
2248.00      0.039    31.841
2280.70      0.036    31.619
2313.87      0.035    31.545
2347.53      0.035    31.630
2381.68      0.035    31.706
2416.32      0.036    31.770
2451.46      0.038    31.627
2487.12      0.041    31.446
2523.30      0.045    31.215
2560.00      0.049    30.872
2597.24      0.054    30.410
2635.01      0.058    29.925
2673.34      0.063    29.261
2712.23      0.067    28.258
2751.68      0.071    27.019
2791.70      0.076    25.498
2832.31      0.080    23.713
2873.50      0.084    21.752
2915.30      0.088    19.757
2957.70      0.092    17.910
3000.72      0.095    16.405
3044.37      0.096    15.195
3088.65      0.097    14.165
3133.58      0.096    13.001
3179.16      0.095    11.463
3225.40      0.092     9.405
3272.31      0.090     6.730
3319.91      0.087     3.814
3368.20      0.084     1.051
3417.19      0.081    -1.162
3466.89      0.078    -2.778
3517.32      0.076    -3.971
3568.48      0.074    -4.988
3620.39      0.071    -5.986
3673.05      0.069    -6.917
3726.47      0.067    -7.383
3780.67      0.065    -7.486
3835.67      0.063    -7.510
3891.46      0.062    -7.654
3948.06      0.062    -8.044
4005.49      0.061    -8.624
4063.75      0.061    -9.305
4122.86      0.061   -10.431
4182.82      0.061   -12.238
4243.66      0.061   -14.442
4305.39      0.061   -16.686
4368.01      0.061   -18.855
4431.55      0.061   -21.117
4496.01      0.061   -23.631
4561.40      0.061   -26.255
4627.75      0.061   -28.645
4695.06      0.061   -30.474
4763.35      0.061   -31.938
4832.64      0.061   -33.213
4902.93      0.061   -34.037
4974.24      0.060   -34.210
5046.60      0.059   -34.013
5120.00      0.058   -34.286
5194.47      0.057   -35.826
5270.03      0.057   -37.667
5346.68      0.057   -39.243
5424.45      0.058   -40.605
5503.35      0.058   -41.743
5583.40      0.059   -42.698
5664.61      0.059   -43.811
5747.01      0.059   -45.611
5830.60      0.058   -48.012
5915.41      0.056   -50.729
6001.45      0.055   -54.329
6088.74      0.054   -58.614
6177.30      0.053   -62.961
6267.15      0.054   -66.737
6358.31      0.054   -69.510
6450.80      0.055   -70.575
6544.62      0.056   -69.826
6639.82      0.056   -68.512
6736.40      0.055   -67.183
6834.38      0.053   -66.283
6933.79      0.051   -66.283
7034.64      0.049   -67.605
7136.96      0.048   -70.247
7240.77      0.047   -74.177
7346.09      0.047   -78.411
7452.94      0.048   -82.275
7561.35      0.050   -85.480
7671.33      0.051   -87.844
7782.91      0.051   -89.383
7896.12      0.051   -90.496
8010.97      0.051   -91.846
8127.49      0.050   -93.694
8245.71      0.049   -96.261
8365.65      0.048   -99.394
8487.33      0.047  -102.572
8610.78      0.046  -105.246
8736.03      0.046  -107.131
8863.09      0.046  -108.310
8992.01      0.046  -109.160
9122.80      0.045  -110.015
9255.50      0.044  -111.249
9390.12      0.043  -113.120
9526.70      0.043  -115.390
9665.27      0.042  -117.765
9805.86      0.042  -120.290
9948.49      0.043  -122.968
10093.2      0.044  -125.905
10240.0      0.045  -128.630
10388.9      0.046  -131.022
10540.1      0.046  -132.686
10693.4      0.047  -133.622
10848.9      0.048  -134.476
11006.7      0.049  -136.326
11166.8      0.050  -140.416
11329.2      0.050  -145.559
11494.0      0.051  -149.842
