Freq[Hz]    GD[ms]  Phase[Deg]
4063.75      0.169   -98.351
4122.86      0.162  -102.720
4182.82      0.155  -106.344
4243.66      0.148  -109.208
4305.39      0.140  -111.262
4368.01      0.130  -112.473
4431.55      0.119  -112.907
4496.01      0.107  -112.848
4561.40      0.096  -112.841
4627.75      0.085  -113.659
4695.06      0.077  -115.912
4763.35      0.072  -119.640
4832.64      0.069  -124.055
4902.93      0.068  -127.601
4974.24      0.068  -128.888
5046.60      0.069  -127.364
5120.00      0.069  -123.694
5194.47      0.069  -119.871
5270.03      0.068  -118.131
5346.68      0.068  -119.756
5424.45      0.068  -124.584
5503.35      0.068  -131.169
5583.40      0.070  -137.516
5664.61      0.073  -142.206
5747.01      0.077  -144.989
5830.60      0.082  -146.436
5915.41      0.085  -147.598
6001.45      0.088  -149.373
6088.74      0.089  -151.988
6177.30      0.089  -155.174
6267.15      0.089  -158.384
6358.31      0.089  -161.111
6450.80      0.089  -163.206
6544.62      0.089  -164.916
6639.82      0.088  -166.804
6736.40      0.087  -169.595
6834.38      0.086  -173.741
6933.79      0.084  -179.159
7034.64      0.081   174.695
7136.96      0.080   168.731
7240.77      0.079   163.823
7346.09      0.079   160.473
7452.94      0.079   158.820
7561.35      0.078   158.534
7671.33      0.077   158.879
7782.91      0.074   159.068
7896.12      0.069   158.393
8010.97      0.063   156.314
8127.49      0.057   152.626
8245.71      0.052   147.463
8365.65      0.047   141.284
8487.33      0.043   134.767
8610.78      0.040   128.829
8736.03      0.038   124.457
8863.09      0.034   122.338
8992.01      0.031   122.613
9122.80      0.026   124.680
9255.50      0.021   127.475
9390.12      0.015   129.828
9526.70      0.009   130.824
9665.27      0.004   130.318
9805.86      0.000   129.047
9948.49     -0.004   128.165
10093.2     -0.007   128.406
10240.0     -0.010   129.917
10388.9     -0.012   132.374
10540.1     -0.014   134.802
10693.4     -0.016   136.242
10848.9     -0.018   136.398
11006.7     -0.018   135.610
11166.8     -0.018   134.824
11329.2     -0.018   135.121
11494.0     -0.016   137.083
11661.2     -0.015   140.728
11830.8     -0.013   145.397
12002.9     -0.011   149.856
12177.5     -0.009   153.014
12354.6     -0.007   154.394
12534.3     -0.005   154.209
12716.6     -0.002   153.150
12901.6      0.000   152.092
13089.2      0.003   151.660
13279.6      0.006   151.860
13472.8      0.009   152.154
13668.8      0.011   151.587
13867.6      0.013   149.338
14069.3      0.015   145.261
14273.9      0.016   140.050
14481.5      0.017   135.012
14692.2      0.017   131.203
14905.9      0.018   129.043
15122.7      0.019   128.297
15342.7      0.019   128.149
15565.8      0.019   127.869
15792.2      0.018   127.174
16021.9      0.017   126.148
16255.0      0.016   125.034
16491.4      0.014   123.961
16731.3      0.013   122.958
16974.7      0.012   122.013
17221.6      0.012   121.109
17472.1      0.011   120.238
17726.2      0.010   119.397
17984.0      0.010   118.581
18245.6      0.009   117.790
18511.0      0.008   117.021
18780.2      0.008   116.272
19053.4      0.008   115.543
19330.5      0.007   114.832
19611.7      0.007   114.138
19897.0      0.007   113.461
20186.4      0.007   112.799
20480.0      0.006   112.153
20777.9      0.006   111.520
21080.1      0.006   110.900
21386.7      0.006   110.294
21697.8      0.005   109.700
22013.4      0.005   109.118
22333.6      0.005   108.548
22658.4      0.005   107.989
22988.0      0.005   107.440
23322.4      0.005   106.902
23661.6      0.004   106.374
24005.8      0.004   105.856
24355.0      0.004   105.347
24709.2      0.004   104.847
25068.6      0.004   104.356
25433.2      0.004   103.874
25803.2      0.004   103.400
26178.5      0.003   102.935
26559.3      0.003   102.478
26945.6      0.003   102.028
27337.5      0.003   101.586
27735.2      0.003   101.150
28138.6      0.003   100.722
28547.9      0.003   100.301
28963.1      0.003    99.888
29384.4      0.003    99.481
29811.8      0.003    99.080
30245.4      0.003    98.685
30685.3      0.002    98.297
31131.7      0.002    97.914
31584.5      0.002    97.538
32043.9      0.002    97.167
32510.0      0.002    96.802
32982.8      0.002    96.443
33462.6      0.002    96.089
33949.3      0.002    95.740
34443.1      0.002    95.396
34944.1      0.002    95.057
35452.4      0.002    94.722
35968.0      0.002    94.393
36491.2      0.002    94.067
37022.0      0.002    93.745
37560.5      0.002    93.420
38106.8      0.002    93.125
38661.1      0.002    92.842
39223.4      0.002    92.625
39793.9      0.002    92.456
